pop,individual,indi_count_per_pop_trait,val_mean,val_sd,d_type
1,1,7,76.7142857142857,8.76953601422344,train
1,2,6,78.6666666666667,8.16496580927726,train
1,3,6,76.0,8.0,eval
1,4,7,74.8571428571429,7.22100111777149,eval
1,5,7,84.2857142857143,9.28644685754973,eval
1,6,6,74.6666666666667,7.96659693135448,train
1,7,6,75.3333333333333,8.89194391945128,train
1,8,5,74.0,4.63680924774785,train
1,9,6,80.0,8.39047078536121,eval
1,10,6,74.1666666666667,9.76558583325479,train
1,11,7,78.0,9.36304793679209,train
1,12,6,77.8333333333333,10.7408876107455,train
1,13,6,78.6666666666667,9.75021367287234,train
1,14,6,79.3333333333333,12.11060141639,train
1,15,6,78.3333333333333,10.2696965226177,train
1,16,6,81.3333333333333,10.1718565988057,train
1,17,6,78.1666666666667,9.84716541278081,train
1,18,6,76.6666666666667,7.8655366420014,eval
1,19,6,80.6666666666667,13.7646891235025,train
1,20,5,77.8,11.7558496077485,train
1,21,5,73.8,4.60434577328853,train
1,22,6,75.8333333333333,8.51860708488581,train
1,23,6,74.6666666666667,9.0037029419382,train
1,24,5,76.6,10.7377837564369,train
1,25,5,81.2,12.2759928315391,eval
1,27,5,81.6,11.0136279218067,train
1,28,5,77.6,9.34344690143846,train
1,29,6,76.1666666666667,7.41395081361258,eval
1,30,6,76.3333333333333,10.15217546473,train
1,31,6,74.8333333333333,5.60059520646392,train
1,32,7,74.7142857142857,8.13867896148357,train
1,33,6,77.5,14.2933550994859,eval
1,34,6,80.3333333333333,14.9220195237329,eval
1,36,7,79.1428571428571,10.2376522606271,train
1,37,6,79.5,7.50333259292163,train
1,38,6,77.6666666666667,10.5955965696447,train
1,39,6,78.3333333333333,16.3299316185545,train
1,40,5,76.4,10.1636607578175,train
1,41,7,75.2857142857143,8.69318287921223,eval
1,42,5,75.6,7.23187389270582,eval
1,43,7,76.1428571428571,10.4311803651132,eval
1,44,6,77.0,7.61577310586391,eval
1,45,6,75.1666666666667,6.04703784233791,train
1,46,6,80.1666666666667,8.42417157153549,eval
1,47,6,74.3333333333333,7.52772652709081,eval
1,48,6,79.5,10.7470926301023,train
1,49,6,80.5,13.8094170767632,eval
1,50,5,71.4,7.95612971236643,train
1,51,7,77.5714285714286,12.9724983825674,train
1,52,6,78.1666666666667,7.83368793523629,train
1,53,6,78.5,14.5705181788432,train
1,54,7,78.1428571428571,13.0821579696492,train
1,55,7,75.8571428571429,11.7958830590532,eval
1,56,6,73.6666666666667,7.06163342766153,train
1,57,7,74.4285714285714,8.42332362861483,train
1,58,5,77.6,12.5618469979538,eval
1,59,7,79.7142857142857,7.18132498717532,train
1,60,7,74.0,7.09459888459759,eval
1,61,6,75.1666666666667,12.4324843320499,train
1,62,7,76.4285714285714,9.3782930724296,train
1,63,7,79.7142857142857,9.6904469404028,eval
1,64,6,78.3333333333333,7.17402722790112,eval
1,65,6,72.6666666666667,10.7269131937695,eval
1,66,6,77.0,7.53657747256671,train
1,67,7,76.2857142857143,13.7078357848627,train
1,68,7,75.0,9.34523051258412,train
1,69,6,74.1666666666667,9.02034736951225,train
1,70,7,76.1428571428571,9.68553167407571,train
1,71,5,78.0,9.5655632348545,train
1,72,5,72.4,6.34822809924155,train
1,73,6,76.3333333333333,8.6178110136314,train
1,74,6,77.8333333333333,9.28260021042955,train
1,75,7,75.1428571428571,10.2213595219125,train
1,76,7,77.0,9.53939201416946,train
1,77,6,74.8333333333333,11.6861741672229,train
1,78,7,72.0,9.52190457139047,train
1,79,5,75.2,5.11859355682789,train
1,80,7,77.1428571428571,8.89622712968015,train
1,81,6,77.1666666666667,11.5830335692627,eval
1,82,6,75.8333333333333,10.0681014430064,eval
1,83,6,81.0,9.81835016690686,eval
1,84,6,83.1666666666667,8.18331636115009,train
1,85,6,79.5,13.8527975513973,eval
1,86,6,75.8333333333333,11.7203526681865,train
1,87,6,77.1666666666667,11.4090607267499,eval
1,88,7,79.4285714285714,13.5383054436556,train
1,89,6,76.0,7.26636084983398,train
1,90,6,81.3333333333333,7.58067719050658,train
1,91,5,80.6,11.1937482551646,train
1,92,6,78.0,13.4759044223384,train
1,93,6,74.8333333333333,8.35264429187947,train
1,94,6,76.1666666666667,9.55859124906315,train
1,95,6,78.1666666666667,8.81854107359413,train
1,96,6,75.5,7.79102047231298,eval
1,97,6,78.1666666666667,7.85917722580848,train
1,98,6,74.1666666666667,8.44787941833136,train
1,99,6,78.3333333333333,14.459137825841,eval
1,100,6,74.8333333333333,9.88770280028009,train
1,101,5,75.6,6.94982014155762,train
1,102,5,81.6,13.1643457870112,train
1,103,7,74.2857142857143,10.4197614450346,train
1,104,6,73.5,9.00555384193554,eval
1,105,6,82.3333333333333,10.112698288126,train
1,106,6,77.8333333333333,14.274686219552,train
1,107,6,76.0,11.7983049630021,eval
1,108,6,74.3333333333333,8.09114742583935,train
1,109,5,73.6,5.68330889535313,train
1,110,6,79.6666666666667,9.24481836850604,train
1,111,6,77.3333333333333,6.74289749786148,eval
1,112,5,70.2,6.53452370108182,train
1,113,6,77.1666666666667,12.1887926664894,train
1,114,6,79.6666666666667,12.1435854123346,train
1,115,6,76.1666666666667,9.28260021042955,train
1,116,7,76.8571428571429,7.0575862594462,train
1,117,7,75.7142857142857,8.95757194992567,train
1,118,6,79.5,9.58644876896549,train
1,119,7,74.5714285714286,8.99735410842437,train
1,120,6,80.0,12.6964561984831,train
1,121,6,79.5,6.77495387438173,eval
1,122,7,78.7142857142857,10.7349008024339,eval
1,123,7,77.2857142857143,7.36465173909094,train
1,124,6,79.3333333333333,9.33095207718198,eval
1,125,6,76.8333333333333,7.73089041874652,eval
1,126,6,81.3333333333333,13.3815793786334,train
1,127,6,80.1666666666667,14.2325917058934,train
1,128,7,72.2857142857143,10.5627377403507,train
1,129,6,79.1666666666667,14.2466370300737,train
1,130,7,79.0,12.2065556157337,train
1,131,6,76.1666666666667,8.20771994324043,eval
1,132,6,82.6666666666667,7.99166232186187,train
1,133,6,78.0,9.40212741883453,eval
1,134,6,79.6666666666667,9.68848113311197,eval
1,135,5,80.2,11.8827606220104,eval
1,136,7,77.4285714285714,8.69592132088646,train
1,137,7,76.7142857142857,8.01486713789413,train
1,138,6,78.6666666666667,10.6520733506049,train
1,139,6,76.1666666666667,6.24232862533419,train
1,140,6,75.6666666666667,9.56382071489563,train
1,141,6,75.6666666666667,8.95916662791058,eval
1,143,5,76.8,8.40832920383116,train
1,144,7,73.8571428571429,8.64924989866311,train
1,145,7,76.7142857142857,8.30088922373753,train
1,146,6,81.1666666666667,9.45339445208263,train
1,147,6,75.6666666666667,10.8012344973464,eval
1,148,6,75.5,9.48156105290685,train
1,149,7,75.1428571428571,9.88986975695453,eval
1,150,6,76.3333333333333,11.5181016954473,eval
1,151,5,73.6,7.02139587261678,train
1,152,7,74.5714285714286,9.08950205561601,train
1,153,7,74.7142857142857,7.76132045711909,train
1,154,6,79.3333333333333,11.3959056975155,train
1,156,6,78.8333333333333,11.6518954109049,train
1,157,6,78.0,6.92820323027551,train
1,158,6,77.1666666666667,8.93121865518176,train
1,159,6,75.5,8.11788149704096,eval
1,160,6,81.5,11.273863579093,train
1,161,7,79.1428571428571,9.45918550807576,train
1,162,6,75.6666666666667,10.7827021968831,train
1,163,6,75.3333333333333,10.8012344973464,eval
1,164,6,78.6666666666667,10.7641379899492,train
1,165,6,78.0,6.75277720645365,eval
1,166,7,75.7142857142857,9.30437685024788,train
1,167,6,76.1666666666667,6.04703784233791,train
1,168,5,76.8,9.80815986819138,eval
1,169,6,79.5,9.79285453787607,eval
1,170,6,82.0,9.83869910099907,train
1,171,6,78.5,14.2793557277631,train
1,172,6,76.5,12.5019998400256,eval
1,173,6,76.5,15.4499190936393,train
1,174,6,78.8333333333333,9.70395108533976,train
1,175,6,77.6666666666667,11.1654228162962,train
1,176,6,79.5,11.5368973298717,train
1,177,6,77.3333333333333,11.7075474232081,train
1,178,6,74.6666666666667,6.74289749786148,eval
1,180,6,76.1666666666667,10.6661458206171,train
1,181,6,80.6666666666667,10.2696965226177,train
1,182,5,77.2,6.05805249234438,eval
1,183,7,79.0,12.4766448481419,eval
1,184,6,75.6666666666667,8.73307887670017,train
1,185,6,78.1666666666667,8.79583234643923,eval
1,186,6,80.0,11.2605506082074,train
1,187,7,79.2857142857143,8.42049653552342,eval
1,188,5,74.8,8.34865258589672,train
1,189,7,72.0,7.61577310586391,train
1,190,6,82.0,7.12741187248218,train
1,191,6,75.8333333333333,7.67897562612792,train
1,192,5,80.4,15.582040944626,train
1,193,6,75.5,8.16700679563817,train
1,194,7,73.0,8.32666399786453,eval
1,195,6,76.5,10.3295692068934,eval
1,196,5,76.2,5.40370243444252,eval
1,197,6,76.8333333333333,11.9568669251885,eval
1,198,6,74.5,9.24662100445346,train
1,199,7,75.8571428571429,10.007140307943,train
2,1,7,78.8571428571429,12.6283882770602,test
2,2,6,82.6666666666667,13.6186147117343,test
2,3,6,79.5,6.65582451691749,test
2,4,6,79.6666666666667,11.2723851365479,test
2,5,7,75.0,10.2469507659596,test
2,6,5,85.4,10.7377837564369,test
2,7,6,76.8333333333333,10.4578519145505,test
2,8,6,80.3333333333333,12.6596471778113,test
2,9,6,85.5,11.4324100696222,test
2,10,5,83.0,9.77241014284603,test
2,11,6,80.8333333333333,12.7030180141046,test
2,12,7,78.1428571428571,9.83918308649269,test
2,13,6,81.8333333333333,10.6097439491567,test
2,14,6,80.0,12.1819538662728,test
2,15,5,80.2,14.3073407731835,test
2,16,5,75.4,8.61974477580398,test
2,17,6,80.0,8.55569985448298,test
2,18,7,77.1428571428571,10.0569805181703,test
2,19,7,79.2857142857143,9.48181216354563,test
2,20,7,78.8571428571429,11.6680271315616,test
2,21,7,78.5714285714286,12.0534523803645,test
2,22,7,82.2857142857143,14.3261332968144,test
2,23,7,80.8571428571429,15.9314005601995,test
2,25,6,80.1666666666667,10.1472492167418,test
2,26,6,79.5,7.42293742395825,test
2,27,6,78.0,8.8994381845148,test
2,28,7,83.2857142857143,12.5925147834509,test
2,29,6,76.6666666666667,11.7075474232081,test
2,30,5,82.0,13.729530217746,test
2,31,6,76.0,8.09938269252663,test
2,32,6,79.1666666666667,11.6002873527627,test
2,33,6,83.3333333333333,16.7052885837589,test
2,34,6,80.3333333333333,8.06639117986889,test
2,35,6,78.6666666666667,12.4204133049857,test
2,36,6,82.3333333333333,11.1474959819085,test
2,37,6,80.0,8.71779788708135,test
2,38,6,83.8333333333333,15.7913478419882,test
2,39,7,76.2857142857143,10.4835472004833,test
2,40,6,82.8333333333333,13.0447946195663,test
2,41,6,77.5,9.39680796866681,test
2,42,7,77.4285714285714,13.0237877600584,test
2,43,7,80.0,11.3724814061547,test
2,44,6,83.5,17.6606908132157,test
2,45,6,78.5,12.6609636284131,test
2,46,6,77.8333333333333,10.9437958070619,test
2,47,6,82.1666666666667,12.9833226358535,test
2,48,5,75.2,12.9691942694988,test
2,49,6,83.1666666666667,15.1316445460058,test
2,50,7,79.4285714285714,10.7371185280649,test
2,51,5,82.2,10.7796103825695,test
2,52,5,77.4,8.5615419172016,test
2,53,6,82.6666666666667,10.4817301370846,test
2,54,7,81.5714285714286,12.1498579258791,test
2,55,6,82.3333333333333,12.3720114236395,test
2,56,6,77.5,11.5887876846545,test
2,57,6,81.5,9.48156105290685,test
2,58,5,78.2,10.5688220724923,test
2,59,5,75.2,5.89067059000926,test
2,60,6,82.1666666666667,12.8750404530109,test
2,61,6,81.1666666666667,12.4485608271264,test
2,62,7,79.1428571428571,9.77119186569328,test
2,63,7,78.4285714285714,9.84644001415643,test
2,64,7,80.2857142857143,11.8140352365916,test
2,65,6,80.8333333333333,11.3915173118714,test
2,66,5,80.2,11.7345643293648,test
2,67,5,81.4,9.88938825206089,test
2,68,6,81.8333333333333,8.8411914732499,test
2,69,6,80.1666666666667,9.86745492346768,test
2,70,5,81.2,9.60208310732624,test
2,71,6,82.1666666666667,14.5109154317247,test
2,72,7,78.2857142857143,10.889050857234,test
2,73,6,81.8333333333333,9.53764471275098,test
2,74,5,78.0,7.58287544405155,test
2,75,6,85.5,11.3622180933126,test
2,76,6,79.1666666666667,10.3810725200562,test
2,77,6,82.3333333333333,13.094528119282,test
2,78,6,77.6666666666667,7.73735527597555,test
2,79,6,82.3333333333333,11.4134423670804,test
2,80,6,81.1666666666667,11.8560814212229,test
2,81,6,82.6666666666667,11.4484351186818,test
2,82,6,78.1666666666667,9.13053485107344,test
2,83,6,76.5,9.39680796866681,test
2,84,5,82.4,11.238327277669,test
2,85,6,78.5,11.0045445157898,test
2,86,6,76.3333333333333,7.68548415304245,test
2,87,6,82.0,11.5758369027902,test
2,88,6,79.0,7.53657747256671,test
2,89,6,79.6666666666667,8.28653526310404,test
2,90,5,76.8,8.31865373723417,test
2,91,7,80.5714285714286,11.7594946441467,test
2,92,7,75.4285714285714,9.67569365053729,test
2,93,6,81.1666666666667,11.2323936303295,test
2,94,6,79.3333333333333,10.0133244562766,test
2,95,7,75.1428571428571,10.073539123674,test
2,96,7,80.0,12.8582010146573,test
2,97,6,84.5,13.0345694213503,test
2,98,6,79.6666666666667,8.16496580927726,test
2,99,6,81.0,9.87927122818278,test
2,100,6,80.8333333333333,9.62115724155191,test
2,101,6,81.3333333333333,14.3341085061704,test
2,102,6,73.8333333333333,8.37655458208604,test
2,103,6,83.8333333333333,15.3286224647444,test
2,104,7,78.5714285714286,11.0582871316364,test
2,105,5,80.0,11.4017542509914,test
2,106,6,85.1666666666667,12.5445871461227,test
2,107,6,77.1666666666667,9.15241316083724,test
2,108,6,78.1666666666667,9.41098648743407,test
2,109,7,79.5714285714286,12.2998257827383,test
2,110,6,82.8333333333333,11.839200423452,test
2,111,7,77.5714285714286,10.4060422008425,test
2,112,6,86.3333333333333,17.7951304200522,test
2,113,6,81.3333333333333,12.225656083281,test
2,114,7,81.4285714285714,12.6735570231505,test
2,115,6,81.5,8.9162772500635,test
2,116,6,80.5,16.379865689315,test
2,117,6,85.1666666666667,15.25013661141,test
2,119,5,77.2,6.1400325732035,test
2,120,7,78.1428571428571,11.0064915910047,test
2,121,6,79.0,12.0830459735946,test
2,122,6,76.3333333333333,7.47440075635945,test
2,123,7,78.8571428571429,12.4019967670341,test
2,124,6,80.1666666666667,8.20771994324043,test
2,125,6,79.3333333333333,11.7416637094863,test
2,126,6,82.3333333333333,15.9708067005605,test
2,127,6,78.1666666666667,10.2842922297388,test
2,128,7,82.2857142857143,13.1493255304126,test
2,129,7,77.5714285714286,11.73111450882,test
2,130,5,84.8,12.3773987574126,test
2,131,6,79.1666666666667,9.53764471275098,test
2,132,6,80.0,11.8827606220104,test
2,133,7,76.0,8.22597511950204,test
2,134,6,80.8333333333333,13.2727791613764,test
2,135,6,77.1666666666667,11.1609438071637,test
2,136,7,76.4285714285714,10.6279057651252,test
2,137,4,77.75,5.1234753829798,test
2,138,6,76.1666666666667,11.7714343504378,test
2,139,7,78.0,10.0,test
2,140,6,83.6666666666667,12.7854083496252,test
2,141,7,79.7142857142857,11.8140352365916,test
