"maize_strain","mean_value","sd_value","indi_count_per_pop_trait","p_id"
"B73",69.4840500463392,2.35952363067777,1079,1
"B97",68.484347826087,1.66250367040385,46,2
"CML103",69.4305405405405,2.47032942691405,37,3
"CML228",66.4911111111111,3.82442624600228,9,4
"CML247",62.5226666666667,2.53072421600444,30,5
"CML277",67.5256666666667,2.17605413746887,30,6
"CML322",63.9309756097561,2.19939173963854,41,7
"CML333",65.2914285714286,1.71336981835615,35,8
"CML52",67.664,2.2756922023859,25,9
"CML69",66.1429032258064,2.02247240368217,31,10
"HP301",61.81,1.68831276723242,4,11
"Il14H",63.6684615384615,1.61733532035306,26,12
"KI3",63.6620588235294,2.26360503489692,34,14
"Ki11",64.1951515151515,2.82338573481835,33,13
"Ky21",67.1097222222222,1.96521679808922,36,15
"M162W",67.2506666666667,2.26181180553957,30,16
"M37W",67.9873529411765,3.07641498247311,34,17
"MO18W",67.9529411764706,1.62063872446107,34,19
"Ms71",64.5721739130435,2.20757159159467,23,20
"NC350",66.9875,1.86535130307161,32,21
"NC358",68.2105769230769,1.69234657075182,52,22
"Oh43",68.6684210526316,3.50801285577769,38,23
"Oh7B",67.0791666666667,3.108774281969,24,24
"P39",58.725,2.07834228813896,16,25
"Tx303",68.115,1.7605851300065,36,26
"Tzi8",64.2816666666667,3.38781801747677,30,27
